"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_login","tests.pytest","Sun Jun 07 19:17:05 UTC 2026","passed","Sun Jun 07 19:17:05 UTC 2026","TestUserAuthentication","test_markers","",""
"","0","test_critical_login","tests.pytest","Sun Jun 07 19:17:05 UTC 2026","passed","Sun Jun 07 19:17:05 UTC 2026","","test_markers","",""
"","1445","Attempt to login with email:   ","LMS system","Sun Jun 07 19:16:54 UTC 2026","passed","Sun Jun 07 19:16:56 UTC 2026","Authorization","Authentication","",""
"","0","test_password_reset","tests.pytest","Sun Jun 07 19:17:05 UTC 2026","passed","Sun Jun 07 19:17:05 UTC 2026","TestUserAuthentication","test_markers","",""
"","1","test_forgot_password_link","tests.pytest","Sun Jun 07 19:17:05 UTC 2026","passed","Sun Jun 07 19:17:05 UTC 2026","TestUserInterface","test_markers","",""
"","1946","Registration with correct email, username and password","LMS system","Sun Jun 07 19:16:56 UTC 2026","passed","Sun Jun 07 19:16:58 UTC 2026","Registration","Authentication","",""
"","3294","Edit course","LMS system","Sun Jun 07 19:17:01 UTC 2026","passed","Sun Jun 07 19:17:05 UTC 2026","Courses","Courses","",""
"","2036","Attempt to login with email: user.name@gmail.com","LMS system","Sun Jun 07 19:16:50 UTC 2026","passed","Sun Jun 07 19:16:52 UTC 2026","Authorization","Authentication","",""
"","2226","Create course","LMS system","Sun Jun 07 19:17:00 UTC 2026","passed","Sun Jun 07 19:17:03 UTC 2026","Courses","Courses","",""
"","7098","User login with correct email and password","LMS system","Sun Jun 07 19:16:50 UTC 2026","passed","Sun Jun 07 19:16:57 UTC 2026","Authorization","Authentication","",""
"","1551","Navigation from login page to registration page","LMS system","Sun Jun 07 19:16:57 UTC 2026","passed","Sun Jun 07 19:16:59 UTC 2026","Authorization","Authentication","",""
"","1480","Attempt to login with email: user.name@gmail.com","LMS system","Sun Jun 07 19:16:52 UTC 2026","passed","Sun Jun 07 19:16:54 UTC 2026","Authorization","Authentication","",""
"","0","test_regression_case","tests.pytest","Sun Jun 07 19:17:05 UTC 2026","passed","Sun Jun 07 19:17:05 UTC 2026","","test_markers","",""
"","1499","Check displaying of empty courses list","LMS system","Sun Jun 07 19:17:00 UTC 2026","passed","Sun Jun 07 19:17:01 UTC 2026","Courses","Courses","",""
"","2025","Check displaying of dashboard page","LMS system","Sun Jun 07 19:17:03 UTC 2026","passed","Sun Jun 07 19:17:05 UTC 2026","Dashboard","Dashboard","",""
"","0","test_logout","tests.pytest","Sun Jun 07 19:17:05 UTC 2026","passed","Sun Jun 07 19:17:05 UTC 2026","TestUserAuthentication","test_markers","",""
