"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1564","Check displaying of empty courses list","LMS system","Sun Jun 07 19:08:04 UTC 2026","passed","Sun Jun 07 19:08:05 UTC 2026","Courses","Courses","",""
"","0","test_logout","tests.pytest","Sun Jun 07 19:08:09 UTC 2026","passed","Sun Jun 07 19:08:09 UTC 2026","TestUserAuthentication","test_markers","",""
"","1","test_password_reset","tests.pytest","Sun Jun 07 19:08:09 UTC 2026","passed","Sun Jun 07 19:08:09 UTC 2026","TestUserAuthentication","test_markers","",""
"","1861","Registration with correct email, username and password","LMS system","Sun Jun 07 19:08:00 UTC 2026","passed","Sun Jun 07 19:08:02 UTC 2026","Registration","Authentication","",""
"","2419","Create course","LMS system","Sun Jun 07 19:08:05 UTC 2026","passed","Sun Jun 07 19:08:07 UTC 2026","Courses","Courses","",""
"","0","test_forgot_password_link","tests.pytest","Sun Jun 07 19:08:09 UTC 2026","passed","Sun Jun 07 19:08:09 UTC 2026","TestUserInterface","test_markers","",""
"","2068","Attempt to login with email: user.name@gmail.com","LMS system","Sun Jun 07 19:07:54 UTC 2026","passed","Sun Jun 07 19:07:56 UTC 2026","Authorization","Authentication","",""
"","1441","Attempt to login with email:   ","LMS system","Sun Jun 07 19:07:58 UTC 2026","passed","Sun Jun 07 19:08:00 UTC 2026","Authorization","Authentication","",""
"","3412","Edit course","LMS system","Sun Jun 07 19:08:06 UTC 2026","passed","Sun Jun 07 19:08:09 UTC 2026","Courses","Courses","",""
"","0","test_regression_case","tests.pytest","Sun Jun 07 19:08:09 UTC 2026","passed","Sun Jun 07 19:08:09 UTC 2026","","test_markers","",""
"","1694","Navigation from login page to registration page","LMS system","Sun Jun 07 19:08:01 UTC 2026","passed","Sun Jun 07 19:08:03 UTC 2026","Authorization","Authentication","",""
"","0","test_login","tests.pytest","Sun Jun 07 19:08:10 UTC 2026","passed","Sun Jun 07 19:08:10 UTC 2026","TestUserAuthentication","test_markers","",""
"","6971","User login with correct email and password","LMS system","Sun Jun 07 19:07:54 UTC 2026","passed","Sun Jun 07 19:08:01 UTC 2026","Authorization","Authentication","",""
"","1544","Attempt to login with email: user.name@gmail.com","LMS system","Sun Jun 07 19:07:57 UTC 2026","passed","Sun Jun 07 19:07:58 UTC 2026","Authorization","Authentication","",""
"","0","test_critical_login","tests.pytest","Sun Jun 07 19:08:09 UTC 2026","passed","Sun Jun 07 19:08:09 UTC 2026","","test_markers","",""
"","1934","Check displaying of dashboard page","LMS system","Sun Jun 07 19:08:08 UTC 2026","passed","Sun Jun 07 19:08:10 UTC 2026","Dashboard","Dashboard","",""
